frame,left_knee_flexion,right_knee_flexion,left_hip_flexion,right_hip_flexion,left_ankle_flexion,right_ankle_flexion
98,170.88326,147.31831,163.89944,177.9297,88.34956,151.26653
99,169.53021,145.74673,165.31328,174.05653,83.90624,156.16127
100,167.68457,143.00978,167.24074,173.58249,84.604774,156.33755
101,169.16708,144.65617,171.7623,176.83707,81.819916,153.64491
102,165.58653,142.02922,168.7105,169.98387,82.21706,146.5233
103,165.88431,142.54974,169.76779,171.02219,82.11143,145.74016
104,167.43864,147.31557,171.04158,174.99245,81.32849,147.98663
105,166.7421,154.23679,170.4246,175.665,81.27162,107.749565
106,167.93695,160.70581,174.67393,176.14465,80.942215,109.99271
107,164.90611,168.42657,173.49069,176.73325,86.359116,112.08053
108,166.06761,179.58362,176.56897,174.44714,82.83591,108.1546
109,170.09917,161.76804,179.93439,162.78069,89.992775,94.83108
110,168.68365,179.91843,179.7059,167.11679,78.37444,97.46883
111,167.74823,174.64488,178.78275,168.18677,77.219925,94.17352
112,169.44087,173.95587,178.79373,167.9507,80.06448,101.34505
113,169.35484,173.49394,179.55019,168.91339,78.095535,101.73639
114,173.44798,165.56226,175.9399,158.74637,82.0607,92.54793
115,171.21849,165.50095,177.38019,125.60976,87.59189,97.1476
116,169.08694,161.99908,178.59041,160.59941,90.50569,100.60954
117,160.84346,174.99225,179.73532,168.88873,97.316795,104.2057
118,152.65921,172.48491,174.24721,164.93639,106.356316,111.39365
119,143.45726,176.98558,174.19762,172.92836,116.87632,107.55634
120,133.07861,178.65317,166.43764,175.59055,125.613686,105.33838
121,164.35768,116.174095,146.76828,110.864815,121.47866,94.46682
122,127.99754,177.35344,164.36147,173.14763,111.42702,110.076
123,129.92885,171.57658,160.55823,171.88724,114.86469,107.89292
124,129.79219,172.44005,161.38484,174.3903,113.804855,108.26655
125,134.20616,170.29906,160.07106,172.17603,117.135704,112.70584
126,145.91826,169.80518,161.4799,176.72894,120.0445,104.87799
127,153.8757,169.31126,165.95262,178.47914,117.171234,112.02735
128,161.03056,170.13406,164.99391,179.80922,103.99152,99.36242
