time,left_knee_flexion,right_knee_flexion,left_hip_flexion,right_hip_flexion,left_ankle_flexion,right_ankle_flexion
0.0,30.74507122951685,33.596534404581426,26.176479377981355,25.66583299716053,17.25185313350427,18.411644626810922
1.0,31.29010479794565,34.36699048629507,27.781779661754776,27.861721410151105,18.80420081989454,19.06372567877643
2.0,33.951572769076954,34.52224865480036,27.943279517886552,29.29792874593606,19.535156659204727,18.358098325271513
3.0,36.71734788453213,34.870869968071396,29.424701550475184,32.911649922758585,20.626371843744934,20.408758535494744
4.0,35.49004507254475,38.23871804948343,28.374087133605812,32.11004062181742,19.371990363915355,21.99944435884161
5.0,36.84017764363927,39.05986517905816,31.69812932122444,30.570983026075357,21.859182550867196,20.457535759386378
6.0,40.838456324186616,41.00605513860696,32.175007479429894,33.416512643576,19.0273762468604,23.178141531542074
7.0,40.81441740229473,41.71309906601579,31.852762738993004,31.557945061352925,21.49977432812767,22.944087508822147
8.0,40.05612978459041,43.324232717391254,34.20580465019785,35.211302865278846,21.968038845286266,21.97423216136651
9.0,42.5637437097912,41.8192119547776,35.037157765766224,33.755041277490804,23.341792309408785,22.742068202569833
10.0,41.92693823289976,45.34420149937302,32.39131902242949,34.523218427684924,22.90622869258455,24.578281700473468
11.0,42.66951577056614,44.276985696546994,33.720312119892476,36.445453276935226,21.57439683897615,23.730136637837905
12.0,44.343529696857445,47.566264090195794,33.931526480139844,33.430353583739446,22.011595698515023,22.9421021385179
13.0,41.5834524142712,43.74796422269255,33.847066144709906,33.31919420827946,23.131998493167156,22.553097730064575
14.0,42.19436920105735,47.566370503808685,35.99110584073315,34.216328912909475,22.711713705161007,22.647009771950977
15.0,44.118993505199356,45.290470220816545,34.68405673799732,35.984530930005135,21.99127659186357,21.762615856663153
16.0,43.47435736512094,43.89784515136536,34.421058499209224,32.63978558630194,21.793545625093476,19.800925427471977
17.0,45.34634315567994,43.881885712091446,32.05836603958604,30.694387550524134,22.60184293035028,23.510149141091453
18.0,43.24567834989111,43.713980353019736,34.85547590450789,33.09070303639794,20.950278657687505,21.120966696613163
19.0,42.07604576330828,44.2757103219881,32.144983592664566,33.74705299808901,20.87755045338469,20.801852709531747
20.0,45.83793455576755,43.73239373178636,33.156883194515494,33.8973662214538,22.57364203248975,19.729869402954744
21.0,42.609476049003305,41.266896051385984,32.78990444731703,31.19883817100903,18.364094515947727,18.388894173847127
22.0,42.228738364325736,41.14904629425933,33.38742212051789,30.491009512500362,17.272168242997054,18.23311456092187
23.0,39.04845590333061,43.345353246185056,29.41413696209663,31.539694599321543,19.20262870666925,16.08051043905293
24.0,39.31537362147949,41.56839691671041,26.53159913122965,27.030108762703797,17.001262139953138,19.191081131765163
25.0,39.143466046124146,38.387006081833015,29.49441825604273,27.88365657133944,16.595757105969238,14.894448066056542
26.0,36.00603021118851,36.46770342075975,30.51049491937207,27.621001960049895,15.347803686347824,14.300679015619144
27.0,36.974245231025954,35.20486924241596,28.87922891566714,26.950262546140713,15.072845158698811,14.092747648192958
28.0,34.12386421746037,34.50901689730536,26.662791378928222,24.80403859250385,16.131544964675705,15.026110171706392
29.0,33.15119931351982,30.582611273100397,24.825843201574447,24.457587779771213,14.540162905472133,12.970180183048004
30.0,31.21424020255391,30.23764513036434,25.38480568168897,20.43655023447193,13.817894695672328,10.957598382452579
31.0,33.402127213262766,26.621511737769914,22.25428761892215,21.65469088493107,10.777507122690395,12.71417481439852
32.0,29.104142011479397,28.232649271759186,23.016218302959146,22.036378178169162,10.308682717088312,11.492311499517536
33.0,26.047248194417424,27.137677379151643,22.09873191410375,19.396042725945865,7.92223221324663,10.643571829674702
34.0,27.400700837752318,24.013471891206642,21.84704745605013,19.77241965682259,9.295756051375495,10.21360496769905
35.0,22.90698610969917,25.723173495512263,23.01323063760836,19.417668091536047,10.454573912913867,11.339941938119026
36.0,23.675488743084347,20.213809391869088,19.35232025118733,17.711279367130942,9.462526553284945,10.63887800652083
37.0,19.11295270055294,18.62556931554448,17.511582057311262,17.636531572116603,8.23226984853259,7.340678477687999
38.0,18.82985256251157,20.020185340080353,17.401285872290327,15.661949811014361,8.005093536973241,9.294557498815513
39.0,19.97879946604408,20.218610024299306,14.694337803488954,16.03630874022886,6.981786963428955,7.770351598642772
40.0,19.75566244037419,20.25173487122065,15.450586518557246,16.570600036012518,7.591942291285656,7.678854874816973
41.0,17.982895755818802,16.238037019492772,15.347201706769727,15.672346814266964,7.945637338159838,5.358201139288957
42.0,16.752890990213817,17.875532198905116,14.855073183583327,14.520861299872307,5.434585183521811,6.830228174098997
43.0,15.80585540537424,15.668206187406202,15.407524669789495,15.332149648814307,7.3002616273245415,6.217859538976709
44.0,13.508185906106117,15.078107285112315,14.076186044806715,15.858299173122933,7.963118000267943,7.968437913898649
45.0,14.257281922431481,16.420124851728044,16.34600422514836,12.57842437734862,6.725278810041971,8.399686303097697
46.0,14.403676789058354,15.979635454158617,15.03860238954343,16.56636275170375,8.029306414815476,5.518996190361829
47.0,16.586834475866862,12.692942631986016,15.16431348839034,15.007251566951329,10.408136985850696,7.9103278902345044
48.0,15.572958301815081,17.478021335223854,15.017283593553113,16.25244109661095,7.828019961251883,9.46372196700304
49.0,12.618650577590913,17.686272911274102,15.928081997353454,17.602149751172742,8.735167512214117,8.631205137238657
50.0,16.102261834145114,15.174435712819719,17.15557136039963,15.031317141084429,8.07982701589071,10.084741040439228
51.0,15.535156344459539,17.341885464353812,15.636769318907909,16.421025921527068,9.536928558038914,10.30103236464851
52.0,15.732797163738764,18.257033646065587,16.48261533754982,17.598338309245236,10.410138522003738,10.936175891171526
53.0,18.433502799902783,18.799543335396045,17.580125509764084,17.74682939592747,10.789357999489038,11.011867586621644
54.0,19.95503197040412,18.59143738567599,17.072288513108933,21.575068465027794,10.263487244981091,10.792405877222402
55.0,20.813815295118417,19.523565380008097,18.510035142357825,19.325851693270273,12.215348452683562,11.643145866983566
56.0,19.272174147081216,21.70138575454826,19.782513157608836,20.594577216313393,14.22687195312623,14.25205248027855
57.0,21.275898297258614,24.790060837682688,22.310500368552912,22.451111855934315,13.991335730337767,14.354743032978911
58.0,23.527862455898987,25.207250259438094,22.520918612813052,21.735795525987733,15.29727196653187,14.995998959267572
59.0,25.85516771823,25.252846028886953,23.410682850920104,23.69428911771752,14.897499233862177,15.508503596481598
60.0,25.090006170248177,28.42511050189108,25.190183526426605,25.549082918343707,16.68229387822766,16.415771059221772
61.0,26.98907397092284,24.48084502679243,25.00329285876422,25.766059563245914,17.00022774291905,18.53924270259516
62.0,27.09415649672851,31.9753570578234,26.634049868419606,27.03913565019822,16.541420178419795,17.90355528306476
63.0,28.457898571144238,29.138667404590244,27.02733377735916,27.480215100195732,18.557320369731663,17.611842095807294
64.0,32.967026806348706,32.68313840921253,28.43384845441334,27.231134835149064,17.96121014566856,20.371169890645774
65.0,35.261159864173464,32.99361561076145,28.349188817032086,30.327045364993168,18.99463784022081,20.051016125885596
66.0,34.565105270330164,34.1307265956676,27.014552921454367,32.89031732985868,20.445221097042687,20.863148186539785
67.0,37.578048156087014,39.1529404481469,30.623262649258436,31.591947944128016,21.128996594387136,22.956921217192736
68.0,37.95415430465057,37.97504466385515,33.27716375050782,32.56000734195582,20.160110445716096,21.782932407678008
69.0,37.70891683391532,40.37455480337791,33.40114888394868,33.76794594463176,22.857478736211394,22.478848439611742
70.0,40.39689238904446,40.864154733569364,34.09515562000093,31.981169610429607,22.76167104479349,21.325076322899587
71.0,43.2415904515871,42.62057919857197,34.98772307245311,36.030098547871795,21.799271378587026,22.52368792390093
72.0,41.851278899072376,42.871782146018845,34.09347006726999,34.622794323454755,21.20577257980272,23.514871916224603
